order_id,product_id,quantity_in_kg
86,8,40.15
87,2,51.17
88,9,36.75
88,5,32.64
89,6,62.95
89,2,52.78
90,6,54.46
90,5,25.64
91,8,31.61
91,9,39.89
92,10,14.92
92,9,61.25
92,1,36.29
93,2,49.65
93,3,47.37
93,5,56.29
94,2,46.71
95,5,35.47
95,10,38.85
96,6,19.27
96,4,5.0
97,9,43.84
97,8,21.37
97,5,24.95
98,2,16.81
99,5,24.42
99,1,30.91
99,9,26.07
99,3,7.65
100,5,14.87
100,3,25.84
101,9,36.8
101,7,30.68
101,1,25.65
101,8,52.31
102,3,29.87
103,6,23.67
104,7,51.72
104,3,38.11
105,5,23.74
106,1,46.86
106,6,51.65
106,4,48.9
107,2,57.72
107,6,48.4
108,10,38.41
108,3,39.12
108,4,36.61
108,7,43.55
109,3,26.83
109,7,44.09
110,3,38.96
111,7,38.7
111,4,39.33
111,5,43.11
112,2,43.63
112,7,58.19
113,8,43.75
114,4,27.19
114,8,38.29
115,5,52.73
115,4,250.42
115,9,30.07
116,4,36.35
117,6,42.04
117,5,53.84
117,2,52.32
117,7,41.99
118,6,27.76
118,9,36.77
118,7,57.87
119,1,50.53
119,2,34.8
119,5,35.89
120,10,25.8
120,5,15.53
121,2,34.16
122,6,56.01
122,10,51.78
122,7,43.97
122,5,39.82
123,7,49.56
124,5,24.35
124,1,48.04
125,1,44.4
125,9,28.72
125,4,33.83
125,3,27.29
126,2,33.64
126,6,30.49
126,9,38.72
126,8,27.58
127,5,33.36
128,7,25.63
128,6,63.58
128,10,40.42
129,9,38.65
129,3,37.35
129,4,47.37
130,7,49.09
130,3,33.63
130,5,33.09
130,4,36.7
131,5,12.38
132,4,50.22
132,7,28.14
132,6,40.34
133,8,51.62
133,10,58.29
133,4,10.52
133,5,30.27
134,3,29.15
134,2,27.26
134,5,32.15
134,8,30.72
135,2,35.79
135,4,40.93
135,5,29.66
136,4,58.28
136,3,46.47
137,1,27.55
138,8,37.72
138,2,29.49
139,7,23.41
139,4,40.33
139,10,41.53
139,9,35.66
140,4,37.14
140,3,34.5
140,1,32.49
140,7,35.42
141,7,35.04
142,3,9.97
142,9,48.22
143,1,44.68
143,9,38.98
143,4,42.85
143,7,43.28
144,8,46.34
145,8,27.49
145,9,15.84
146,8,5.0
146,9,11.33
146,7,28.21
147,3,52.08
147,8,33.08
147,9,50.03
147,10,26.44
148,5,18.76
148,9,27.61
149,4,42.04
149,5,41.07
149,8,45.86
149,1,58.96
150,4,32.87
150,5,47.06
150,6,36.18
151,9,36.17
151,2,36.76
151,3,51.37
152,4,37.0
152,7,55.61
153,4,31.88
153,2,13.24
154,7,43.92
154,6,37.37
154,8,49.95
154,4,13.47
155,4,42.83
156,7,49.25
156,1,44.06
156,10,35.02
156,4,47.59
157,6,67.25
158,7,26.9
158,10,30.2
158,4,58.12
159,4,44.82
159,5,35.83
159,7,49.95
159,10,55.44
160,7,34.66
161,7,30.71
161,3,25.06
161,8,18.66
162,10,57.95
162,9,47.85
163,7,39.33
164,2,41.31
165,3,48.71
165,8,45.77
165,10,42.69
165,1,30.51
166,7,45.66
166,6,137.45
166,4,41.2
167,6,38.92
167,10,49.37
167,7,70.46
167,3,46.29
168,5,52.85
168,2,33.01
168,8,50.23
168,1,12.15
169,6,35.97
170,2,60.03
170,1,36.88
171,4,21.96
172,1,27.79
172,3,46.2
173,3,30.41
173,8,38.03
174,10,30.61
175,8,48.09
175,5,131.46
176,3,41.86
176,2,70.84
176,10,26.71
177,2,15.06
177,1,25.11
177,5,25.87
178,7,42.44
178,4,43.48
178,2,36.94
178,5,38.2
179,2,46.33
179,5,35.66
180,10,24.16
181,6,26.18
182,6,23.44
182,2,22.12
182,10,20.5
182,1,33.53
183,8,30.33
183,2,12.03
183,7,32.39
183,3,32.12
184,3,36.29
184,7,33.73
184,10,52.59
184,6,31.55
185,10,23.1
185,9,21.32
185,8,47.27
186,7,18.96
186,5,33.46
186,6,51.66
186,10,39.63
187,2,35.97
187,5,56.15
188,4,23.82
188,8,48.92
188,7,42.05
188,3,37.79
189,8,20.44
190,3,46.62
190,8,64.07
190,4,48.61
191,5,59.45
191,6,58.85
191,10,27.95
192,9,46.12
192,1,32.5
192,4,40.31
193,4,46.21
194,8,31.29
194,9,21.71
194,4,30.42
194,6,56.1
195,8,29.39
195,10,64.98
195,1,36.35
195,9,41.14
196,4,42.15
196,7,39.94
196,10,32.09
197,10,35.77
197,6,42.91
197,8,42.16
198,7,35.98
198,9,48.49
198,6,33.25
199,8,47.59
199,5,51.67
199,9,47.46
200,4,21.16
200,2,39.11
200,10,47.45
201,2,50.01
201,9,45.51
201,3,39.16
202,4,20.07
202,8,45.16
203,10,42.49
203,9,43.26
203,5,24.68
204,4,27.03
205,4,52.64
205,6,23.14
205,3,46.01
206,1,27.49
206,9,55.34
206,3,36.87
207,1,41.62
207,10,44.95
207,5,16.84
208,8,32.19
208,2,52.52
209,10,50.41
210,8,43.4
210,10,23.81
210,9,47.03
211,3,40.99
211,1,52.79
211,5,33.79
212,2,41.91
212,10,5.0
212,7,5.0
212,4,14.53
213,10,34.52
214,3,38.01
215,10,30.09
215,5,67.72
216,4,32.03
217,9,54.01
218,10,59.45
218,4,33.79
218,7,32.81
218,9,46.66
219,5,32.53
219,7,35.52
219,10,25.92
219,8,49.55
220,10,52.58
221,4,58.57
222,5,61.55
222,2,43.43
223,4,44.01
223,3,47.9
224,3,64.12
225,7,29.91
226,10,39.9
226,8,39.8
226,5,54.26
226,1,70.32
227,5,33.63
227,10,20.33
228,2,45.55
228,4,42.88
228,5,43.67
228,7,51.2
229,7,178.25
229,2,32.21
230,3,45.77
230,5,35.56
231,2,30.0
231,1,31.73
232,5,45.94
232,10,45.02
233,2,44.8
233,8,37.29
233,5,40.04
233,6,49.81
234,5,22.13
234,9,47.75
234,8,65.96
234,4,36.31
235,10,42.63
236,7,47.29
237,10,42.24
237,5,34.64
237,1,42.33
238,4,52.88
239,5,27.68
240,3,212.68
241,9,33.69
241,8,48.79
241,5,52.96
241,2,19.59
242,8,20.12
242,2,10.24
242,10,22.87
242,3,32.78
243,6,36.85
243,10,22.33
243,2,11.24
243,7,23.62
244,6,32.6
244,7,35.77
245,5,22.52
245,7,24.01
245,1,38.41
245,4,29.11
246,6,30.48
247,6,13.67
247,2,28.88
247,7,39.99
248,9,45.9
249,7,31.11
249,1,39.83
249,4,20.9
249,5,46.78
250,10,32.38
250,8,51.95
250,9,36.68
251,4,39.7
252,9,49.43
252,3,45.11
252,5,28.4
253,8,39.43
253,2,68.82
253,1,39.73
253,6,46.3
254,3,61.38
254,5,29.48
255,9,194.13
256,2,61.57
256,4,47.69
256,10,33.15
256,9,46.87
257,3,61.74
258,5,44.3
258,9,44.72
258,10,48.18
258,4,33.05
259,8,53.07
259,4,41.37
259,10,51.4
259,5,37.62
260,7,55.81
260,4,27.62
261,2,33.65
261,5,47.42
262,6,53.55
262,9,75.58
262,5,38.84
262,7,28.8
263,5,49.04
264,10,33.97
264,8,42.54
264,3,53.09
265,9,38.67
265,8,51.19
265,6,244.58
265,3,17.63
266,8,29.18
266,6,42.69
266,4,52.57
266,9,60.21
267,10,34.49
267,7,52.94
268,7,39.54
268,1,49.61
269,8,42.15
269,7,46.39
269,9,24.95
270,8,45.93
270,1,43.13
271,9,33.4
271,6,31.94
272,8,39.69
273,9,54.07
274,1,26.13
274,3,43.83
274,7,44.49
274,8,38.96
275,2,49.69
275,8,25.05
276,6,39.44
276,7,45.72
276,2,40.92
277,9,24.6
277,7,51.96
277,6,34.07
278,9,58.01
278,1,50.2
278,2,35.82
278,8,35.81
279,4,39.57
279,2,23.93
279,7,29.35
280,2,40.58
281,3,23.43
281,5,12.58
281,1,22.72
281,8,30.38
282,1,41.67
282,5,45.43
282,6,38.4
283,7,53.03
283,3,14.79
283,4,75.25
284,10,28.74
284,3,47.73
284,9,43.32
284,2,32.19
285,10,50.44
286,10,45.95
286,4,41.81
286,8,44.38
286,5,295.38
287,4,39.31
287,8,42.37
288,8,45.39
288,5,27.08
288,1,48.02
289,5,43.63
289,9,30.95
289,3,39.23
289,1,43.95
290,6,43.86
290,5,45.06
290,7,59.36
290,10,45.44
291,8,52.56
291,5,46.84
291,4,48.66
292,8,47.62
292,2,55.48
292,4,36.86
292,10,41.45
293,10,27.66
293,5,59.13
293,9,29.84
294,7,32.33
295,1,24.12
295,10,59.7
295,8,52.12
296,4,40.71
296,6,53.51
296,10,34.55
297,10,39.76
297,5,26.12
298,2,21.61
298,1,56.61
299,8,46.77
299,1,47.14
299,6,50.24
300,2,49.11
300,5,43.37
301,7,37.73
301,3,46.64
301,4,39.6
302,9,28.6
302,6,29.55
303,3,28.19
303,5,51.02
303,8,21.15
304,6,117.27
304,2,51.29
304,8,28.21
305,3,37.3
306,7,20.88
306,9,45.29
307,2,39.76
307,7,46.63
307,1,42.69
308,9,56.37
308,2,46.0
308,8,24.44
309,5,53.79
309,7,36.39
309,6,36.7
310,4,49.02
311,1,48.97
311,9,31.59
311,6,234.53
311,5,33.27
312,2,61.83
312,8,30.06
313,7,46.29
313,2,31.18
313,3,35.75
314,1,45.44
315,8,33.31
315,2,23.56
315,9,38.94
316,9,70.96
316,3,30.36
317,8,44.67
317,6,28.63
317,7,18.59
317,5,5.52
318,7,31.76
318,2,11.79
319,10,16.46
319,7,37.37
319,5,26.3
319,1,30.55
320,4,65.41
320,8,48.34
320,9,63.36
321,6,46.7
321,2,40.91
322,9,46.47
322,6,28.95
322,1,42.03
323,5,23.04
323,4,53.1
323,2,47.31
323,7,26.89
324,2,36.2
324,4,54.56
324,1,41.7
324,8,67.83
325,4,44.72
325,3,46.04
325,10,46.99
326,9,27.15
327,10,29.32
327,4,41.05
328,6,48.5
328,3,65.87
329,5,26.42
330,3,40.98
330,9,38.81
331,3,51.03
331,2,36.52
331,1,43.21
332,1,43.86
332,6,31.98
333,10,51.9
333,6,27.56
334,3,55.76
335,1,69.58
335,3,36.4
335,7,32.2
336,2,46.36
337,8,35.54
337,6,28.09
337,2,46.09
337,4,40.65
338,10,5.34
338,1,43.52
339,8,58.37
339,1,54.63
339,9,37.44
340,7,57.89
340,10,33.24
340,2,35.07
340,4,35.59
341,2,31.52
341,10,41.93
341,6,40.04
341,5,45.24
342,2,54.29
342,3,9.35
343,10,51.21
343,9,25.96
343,6,18.38
344,10,46.5
344,9,49.11
344,5,33.08
344,4,8.91
345,2,7.25
345,10,27.2
345,4,24.82
345,8,31.95
346,4,10.68
346,7,24.52
346,6,39.02
346,9,14.65
347,7,32.73
347,10,61.91
347,2,48.14
347,3,34.15
348,6,65.89
348,5,32.73
348,10,48.91
348,2,43.59
349,2,55.62
349,10,58.74
349,9,40.38
349,1,30.96
350,2,45.52
350,6,31.87
350,3,64.16
350,5,41.64
351,10,23.83
352,2,28.34
352,7,34.58
352,6,34.77
353,1,43.39
353,5,31.51
353,9,30.62
353,3,50.56
354,10,22.94
355,3,58.02
355,8,36.13
356,2,36.99
356,6,32.28
357,2,51.13
357,5,40.68
357,4,43.22
358,9,58.34
358,10,46.09
358,1,46.46
358,5,52.87
359,1,27.46
359,3,16.4
359,5,64.67
360,6,26.76
360,10,37.34
360,1,36.68
361,3,43.65
361,7,43.19
362,3,50.05
363,2,30.24
364,7,27.53
364,10,46.03
365,6,43.92
365,3,40.36
365,10,38.87
365,9,38.97
366,10,54.86
366,2,40.26
366,1,43.71
367,3,60.43
367,1,42.89
368,5,71.22
369,7,36.99
369,8,39.76
369,9,49.94
369,4,28.88
370,4,55.46
370,9,34.93
370,2,43.13
371,7,23.19
371,2,48.64
371,5,57.36
372,9,33.82
372,5,26.68
372,1,43.34
372,2,57.46
373,10,30.58
373,1,47.78
373,9,38.55
373,2,45.03
374,4,48.67
374,3,35.53
374,5,60.72
375,6,35.2
375,2,60.17
375,1,30.99
376,7,54.0
376,3,33.12
376,9,42.17
376,4,29.97
377,9,58.51
377,10,64.07
378,2,64.74
378,7,54.5
378,1,52.29
379,1,47.11
379,8,97.33
379,2,39.96
379,7,37.96
380,10,34.56
380,7,34.82
380,9,29.37
381,5,29.88
381,2,38.38
381,7,45.76
381,1,23.61
382,3,151.08
382,8,46.92
382,6,62.34
383,7,27.08
384,4,53.77
385,10,36.35
385,7,24.96
385,2,44.18
385,4,23.07
386,6,10.91
386,4,5.0
386,10,27.04
387,2,37.4
387,9,22.66
388,9,22.69
389,6,41.69
389,10,44.94
390,4,19.51
390,2,13.02
391,5,180.68
391,4,38.8
392,10,37.56
392,3,29.46
393,3,30.08
394,8,36.35
394,10,58.82
394,6,33.69
394,7,39.83
395,3,41.22
395,8,26.43
395,2,18.85
396,8,27.68
396,5,42.96
396,9,41.05
396,10,48.43
397,6,41.16
398,5,26.68
399,8,46.8
399,1,24.0
399,9,68.98
399,3,40.96
400,2,44.17
400,10,34.88
400,7,33.5
401,10,52.21
401,9,71.96
401,1,36.45
401,4,41.83
402,6,27.13
402,8,5.0
403,1,45.24
403,8,50.85
404,6,47.43
405,9,64.69
406,1,32.25
406,4,30.41
407,8,43.88
407,9,36.97
407,3,36.5
407,10,21.24
408,5,50.6
408,7,39.07
408,9,37.83
409,10,78.32
409,1,132.39
409,6,22.74
410,6,51.03
411,9,31.98
412,5,40.81
412,10,50.23
412,3,45.82
412,8,29.84
413,10,32.28
414,6,52.36
414,5,33.44
415,3,33.81
415,2,43.58
415,5,49.13
415,8,37.61
416,6,26.04
416,3,42.3
416,2,42.89
416,10,46.26
417,9,40.07
417,6,25.73
417,1,36.94
417,3,40.39
418,3,36.8
418,4,61.52
418,6,42.69
419,4,30.34
419,10,47.16
419,3,43.25
419,2,43.65
420,5,55.81
421,9,38.58
422,6,55.56
423,10,39.73
423,7,50.09
424,3,46.56
424,10,32.05
425,8,5.0
425,1,6.78
426,6,39.93
426,4,25.46
426,8,26.63
426,5,29.47
427,8,15.52
427,4,28.4
427,9,21.89
428,8,41.51
428,4,37.15
428,6,5.0
429,8,26.51
429,5,33.68
429,7,33.01
429,9,10.45
430,3,35.01
430,4,28.27
430,10,32.8
430,7,13.4
431,1,41.8
431,8,41.69
431,6,53.21
432,9,33.58
433,5,38.91
434,3,34.78
435,8,49.01
435,9,42.35
435,3,43.8
436,2,50.66
436,4,33.68
436,8,47.91
436,3,35.36
437,7,17.38
438,7,36.44
439,4,52.6
439,7,29.63
439,2,45.14
440,4,50.79
440,1,38.75
440,6,37.97
441,6,40.84
442,3,53.94
442,1,51.7
443,8,46.01
443,3,42.27
443,10,52.01
444,10,32.15
444,1,18.03
444,2,46.13
444,9,56.48
445,4,59.68
445,3,48.91
445,7,40.91
446,5,20.78
447,5,37.05
447,2,29.88
448,4,40.52
449,10,60.34
449,8,32.53
449,2,42.34
449,1,31.09
450,10,24.16
450,9,32.66
450,1,39.56
450,6,34.85
451,3,31.69
451,5,207.04
452,1,25.12
452,6,29.27
452,4,31.97
452,5,37.54
453,3,40.08
453,2,64.31
453,6,41.38
453,1,38.08
454,7,48.06
455,1,41.24
455,7,14.05
455,6,39.78
455,3,52.91
456,6,31.5
457,6,21.84
458,2,43.21
458,6,46.1
459,1,34.2
459,6,41.76
460,3,59.35
460,8,50.76
460,9,36.78
461,3,14.31
461,2,22.3
462,1,17.2
462,5,39.11
462,4,5.0
462,10,27.48
463,1,34.11
463,6,29.58
464,9,32.64
464,7,11.28
464,8,26.3
465,1,33.42
465,4,41.11
465,5,41.92
466,1,27.67
466,6,45.65
466,5,50.15
467,6,62.08
468,7,31.05
468,8,36.81
468,10,57.2
468,3,46.34
469,8,45.86
469,10,17.97
470,9,54.05
470,5,59.03
470,2,49.35
471,2,28.16
471,7,57.78
471,3,36.96
471,5,25.43
472,6,40.59
472,2,38.06
472,9,23.05
473,5,243.11
473,10,38.19
473,8,31.43
474,3,20.45
474,8,55.27
474,6,62.7
474,4,34.45
475,6,46.56
476,5,40.08
476,1,38.94
476,2,35.56
476,6,36.89
477,6,59.18
477,9,38.88
477,3,42.75
477,1,42.87
478,10,50.85
478,8,21.52
479,3,22.16
480,4,18.39
481,6,33.49
481,7,30.55
481,1,32.55
482,8,37.98
482,6,34.33
483,8,51.54
483,2,18.1
483,3,37.94
484,7,26.7
484,6,136.71
484,5,68.01
485,2,63.53
485,1,53.53
486,8,34.63
486,9,24.69
487,9,39.64
487,2,33.19
487,5,21.71
487,7,42.89
488,8,35.66
488,4,43.36
488,5,32.01
489,4,50.48
489,2,38.5
489,3,25.93
489,7,39.84
490,8,44.69
491,8,43.06
491,2,52.55
492,6,22.62
492,2,29.89
492,5,47.68
493,3,31.3
493,10,72.59
493,6,36.76
494,2,46.67
494,4,41.07
495,4,37.63
495,8,38.18
496,6,37.66
497,8,53.61
497,9,47.12
497,3,5.0
498,2,63.48
499,7,37.1
499,8,51.42
499,10,53.21
500,10,32.48
500,2,50.35
500,3,51.44
500,8,46.16
501,8,48.7
502,9,46.19
502,6,49.6
502,3,49.05
502,7,54.27
503,3,48.5
503,7,30.16
504,2,39.71
505,5,25.36
505,3,32.3
506,6,19.44
506,4,22.37
507,9,5.71
507,5,15.85
507,2,15.77
508,4,13.72
508,9,21.66
508,5,32.6
509,5,6.51
509,9,23.41
510,9,41.33
511,10,9.29
511,3,5.0
512,10,42.21
512,6,26.74
513,1,49.39
514,1,44.71
515,4,33.89
515,7,39.69
515,1,18.77
516,9,31.66
516,5,35.09
516,10,33.71
516,4,41.83
517,7,30.13
517,5,53.45
518,2,51.46
518,1,27.61
518,3,29.7
518,4,53.51
519,8,34.29
519,10,50.49
519,4,43.15
519,3,42.32
520,6,39.21
520,10,63.78
521,7,58.83
521,3,24.06
521,6,46.27
522,6,30.2
523,8,42.44
523,2,36.58
524,8,34.74
524,4,41.68
524,3,44.9
525,1,38.5
526,7,6.01
526,10,40.2
526,4,22.7
527,6,37.49
527,10,54.82
528,3,36.16
528,8,35.55
529,8,65.25
529,5,51.65
529,10,59.23
529,1,31.1
530,7,34.98
531,4,25.73
531,10,59.71
531,6,29.19
531,1,47.66
532,5,19.07
533,10,41.43
533,8,21.7
533,5,26.39
533,9,37.38
534,2,8.33
535,3,46.46
535,5,39.5
535,6,64.21
535,7,42.6
536,6,45.26
536,1,40.24
536,7,48.07
536,9,47.1
537,6,35.75
537,9,33.12
538,2,25.13
538,7,22.39
538,8,41.98
539,10,40.61
539,2,42.08
539,3,42.93
540,7,35.25
541,6,37.84
541,9,31.08
541,10,137.02
542,4,40.25
542,9,42.77
543,9,24.88
543,1,32.6
543,10,35.5
543,8,36.19
544,6,45.98
544,8,53.68
545,3,58.97
545,9,27.82
545,10,30.27
545,8,24.91
546,3,37.19
546,7,45.6
546,5,51.85
547,9,39.09
547,10,29.98
547,8,65.07
548,8,64.28
548,1,40.08
548,6,37.72
549,2,35.71
549,7,37.84
549,5,56.47
550,10,37.59
551,5,25.21
551,4,45.37
551,1,44.45
551,10,40.58
552,3,28.98
552,9,30.11
552,7,25.23
552,2,17.3
553,1,30.85
553,2,46.65
554,1,22.71
554,8,27.79
555,7,10.56
555,3,32.42
555,10,22.51
556,7,35.59
556,9,19.57
557,1,34.76
557,3,39.21
557,4,65.2
557,5,37.04
558,8,23.87
558,9,20.76
558,7,42.97
559,3,171.7
559,8,31.78
559,6,49.49
560,5,16.36
560,8,50.71
560,4,25.47
561,5,48.77
561,9,21.68
562,4,40.39
562,5,63.72
562,9,21.23
563,8,59.41
563,6,41.25
564,6,29.21
564,9,24.04
564,5,37.73
564,3,51.06
565,10,44.91
566,7,100.1
566,6,33.39
566,3,27.69
566,8,35.61
567,5,45.33
568,6,45.24
569,5,44.85
569,8,28.57
569,4,45.07
569,2,41.31
570,9,52.63
570,5,33.13
570,3,20.0
571,10,48.28
572,4,9.3
572,1,26.95
573,4,26.97
573,1,48.15
574,7,101.67
575,8,54.33
575,2,28.23
575,3,34.43
576,9,45.54
577,7,57.52
577,8,19.36
578,4,32.82
578,5,42.74
578,6,61.63
578,3,44.6
579,2,45.76
580,9,33.17
580,1,46.82
581,7,41.26
581,3,52.62
582,7,13.02
583,3,21.15
583,5,46.54
583,1,27.76
583,8,30.97
584,10,32.99
584,2,30.06
584,6,35.07
585,8,17.59
585,9,30.49
585,10,45.09
586,9,109.72
586,8,33.02
587,4,39.28
587,2,45.46
587,6,49.29
588,8,27.98
588,5,42.32
589,1,55.84
589,6,61.83
590,10,40.48
590,4,42.92
590,3,56.64
591,7,26.59
591,9,27.85
591,6,44.52
591,1,49.72
592,2,53.34
592,3,63.22
592,9,40.84
592,4,32.32
593,4,55.0
593,1,21.82
593,5,54.61
594,4,29.58
594,8,31.56
594,5,51.18
594,3,61.76
595,10,32.11
595,1,46.49
595,5,38.16
596,4,58.24
596,1,34.06
596,2,36.47
597,5,33.66
597,3,33.92
597,7,19.98
597,6,24.06
598,2,40.93
598,5,58.16
598,6,32.64
599,4,22.04
599,3,32.2
600,3,39.0
600,8,22.6
600,6,28.94
600,4,92.24
601,9,33.44
601,4,36.74
601,10,60.08
601,6,56.09
602,9,24.41
603,9,49.96
603,6,49.74
603,2,26.22
603,5,49.83
604,1,58.46
605,10,46.62
605,9,44.09
606,3,44.69
606,6,24.08
607,2,52.57
607,4,54.04
607,8,37.25
607,1,39.48
608,1,46.86
608,8,39.25
608,3,53.49
608,5,35.99
609,8,39.72
609,1,37.91
609,10,42.7
609,6,35.57
610,1,38.42
610,7,49.91
610,5,34.76
611,4,20.72
612,1,33.96
613,6,43.16
613,2,43.53
613,1,37.19
613,8,30.59
614,1,31.71
614,5,29.01
614,7,30.02
614,2,39.19
615,7,31.41
615,6,46.0
616,8,45.66
616,7,40.91
616,9,48.91
616,1,45.79
617,6,25.15
617,2,50.43
618,9,50.65
618,7,48.2
619,4,37.49
619,1,49.72
620,5,36.76
621,9,49.97
621,7,27.79
621,10,20.62
621,8,15.57
622,4,46.46
622,8,42.21
623,3,34.25
623,5,18.72
623,4,31.72
624,1,40.05
625,10,34.08
625,1,57.32
625,4,24.92
625,2,49.76
626,2,31.85
627,8,51.62
628,4,26.25
629,7,23.64
630,4,52.78
630,9,14.32
630,10,23.19
630,7,40.17
631,3,45.01
632,4,50.16
632,6,42.1
632,9,199.96
633,5,45.68
633,3,28.88
634,7,46.67
634,5,28.98
635,1,51.71
635,9,51.02
635,3,25.05
636,9,40.66
636,8,30.64
636,1,36.55
636,3,41.27
637,9,21.67
637,6,38.25
637,7,32.88
637,4,31.16
638,5,31.62
638,7,56.1
639,9,12.03
639,8,53.03
640,4,52.66
640,5,40.01
641,8,24.43
641,1,43.02
642,7,29.0
642,9,35.97
642,3,30.53
642,4,45.2
643,5,30.33
643,4,34.33
644,2,24.59
644,8,7.78
644,6,43.11
645,9,71.45
646,1,26.66
646,5,54.93
647,10,41.58
647,1,44.34
647,2,44.06
647,8,14.97
648,8,37.76
648,4,30.4
649,5,39.24
649,1,54.85
649,4,34.51
650,2,50.18
650,8,13.04
651,10,32.72
651,4,42.54
652,4,113.34
652,9,31.74
652,6,24.95
652,7,22.35
653,7,37.76
653,8,32.59
653,6,61.14
654,5,36.61
654,6,47.82
654,8,26.35
655,2,37.58
655,8,39.92
655,6,47.19
655,10,48.02
656,6,45.49
656,7,57.47
656,1,48.45
657,3,49.47
657,1,52.89
658,9,58.31
658,7,31.35
658,5,46.35
659,4,42.29
659,6,51.3
660,7,27.61
660,4,44.78
661,9,61.71
661,6,37.38
661,5,29.83
661,7,32.17
662,8,26.92
662,10,30.58
662,3,35.55
662,6,23.13
663,3,40.19
663,10,50.83
663,8,29.11
664,9,43.23
664,1,17.11
665,2,35.25
666,1,10.89
667,3,14.26
667,4,6.69
667,2,32.41
667,6,37.53
668,1,31.45
668,4,13.61
669,6,57.22
669,1,33.54
669,8,40.8
669,10,25.18
670,1,53.98
670,10,34.37
670,7,47.74
670,9,31.51
671,9,41.5
672,9,53.94
672,5,30.26
672,1,44.42
673,3,43.79
673,2,38.83
673,9,33.95
673,5,54.58
674,4,32.83
674,10,18.26
675,6,47.69
675,5,56.02
675,7,47.56
676,6,42.99
677,8,52.54
677,4,41.74
677,9,40.29
677,3,35.78
678,1,58.76
679,7,48.44
680,7,41.91
680,9,37.52
680,8,46.73
680,1,22.35
681,3,41.69
682,8,39.21
683,6,32.16
683,2,54.27
683,1,54.05
683,9,46.7
684,10,38.08
684,8,40.02
685,1,24.68
685,2,53.36
685,5,52.93
686,3,204.22
687,1,27.74
687,4,35.23
687,3,61.84
688,2,58.65
688,5,50.25
688,3,44.98
688,9,45.56
689,10,40.52
689,7,46.7
690,7,42.9
